20250723 012100;23229;23234.75;23229;23234.5;117
20250723 012200;23234;23236.5;23233.75;23236;149
20250723 012300;23235.5;23241.25;23235.5;23240.5;273
20250723 012400;23240.25;23240.75;23238.25;23238.5;77
20250723 012500;23238;23241;23237.5;23240;106
20250723 012600;23240.25;23241.5;23239.25;23241;100
20250723 012700;23241.25;23242.5;23240.25;23242;79
20250723 012800;23241.75;23243.25;23240.25;23243;83
20250723 012900;23242.75;23242.75;23238.25;23240.75;98
20250723 013000;23240;23240.5;23235.5;23235.75;165
20250723 013100;23235.25;23236.25;23229.5;23231;187
20250723 013200;23231.25;23235;23230.75;23234;109
20250723 013300;23234;23234.25;23230.75;23231.5;74
20250723 013400;23231.5;23234;23231.5;23233;29
20250723 013500;23233.25;23240.75;23232.75;23236.75;113
20250723 013600;23235.75;23238;23235;23237;72
20250723 013700;23237.25;23242.25;23236.75;23239.5;125
20250723 013800;23240;23243;23240;23243;78
20250723 013900;23243.25;23243.75;23239.25;23239.25;53
20250723 014000;23239.25;23239.25;23232.5;23235.5;137
20250723 014100;23234.75;23238.25;23234.5;23236.25;60
20250723 014200;23236.75;23238.5;23236.5;23238.25;42
20250723 014300;23237.5;23241;23237.25;23239.5;94
20250723 014400;23240;23241;23237.75;23239.5;45
20250723 014500;23240;23241.5;23239.5;23240.75;47
20250723 014600;23241.25;23241.5;23239.75;23240.75;42
20250723 014700;23241.5;23244;23240.75;23243.25;61
20250723 014800;23243.75;23244.5;23239.25;23239.5;65
20250723 014900;23239.75;23240.25;23237;23238.75;75
20250723 015000;23238.25;23238.75;23237;23238;35
20250723 015100;23238;23238;23233.25;23234;89
20250723 015200;23234.5;23239;23232.25;23238.75;115
20250723 015300;23239.25;23246;23237;23244.75;188
20250723 015400;23244.5;23250;23243.25;23249;444
20250723 015500;23249.75;23253.75;23249;23252.5;262
20250723 015600;23252.5;23253;23250;23252;116
20250723 015700;23252;23253;23250;23253;98
20250723 015800;23252.75;23253;23250.75;23251;58
20250723 015900;23251;23252;23250;23250.5;33
20250723 020000;23250;23252;23250;23252;29
20250723 020100;23251.5;23252;23247.5;23249;141
20250723 020200;23248.5;23250;23247.5;23248;67
20250723 020300;23248;23248;23246;23246.5;77
20250723 020400;23246.25;23248.75;23245.25;23246.75;55
20250723 020500;23246.25;23247.5;23245.5;23247.5;58
20250723 020600;23247.75;23248;23244.5;23245.75;65
20250723 020700;23244.5;23245.5;23242;23244.75;117
20250723 020800;23244.5;23245.25;23242.75;23242.75;51
20250723 020900;23244;23244.5;23242;23244.5;58
20250723 021000;23244.75;23246.75;23244.25;23245.75;56
20250723 021100;23244.75;23245;23242;23243.25;52
20250723 021200;23242.25;23243.25;23239.25;23242.25;137
20250723 021300;23243;23244.25;23242.25;23244.25;29
20250723 021400;23244.5;23244.75;23238;23239;130
20250723 021500;23238;23238.75;23231.5;23231.5;189
20250723 021600;23231.25;23232.5;23227.75;23230;179
20250723 021700;23230.5;23231.25;23229;23229.25;77
20250723 021800;23229.25;23230.25;23228.75;23229.75;58
20250723 021900;23230.5;23230.5;23226;23227;117
20250723 022000;23227.5;23231.5;23227.25;23229.5;62
20250723 022100;23230.25;23231;23228.5;23230.25;34
20250723 022200;23231.25;23235;23229.75;23234.25;141
20250723 022300;23234;23238.25;23233.5;23237.75;87
20250723 022400;23237.75;23237.75;23233.75;23237;74
20250723 022500;23236.75;23236.75;23232;23234.25;60
20250723 022600;23234.25;23235.5;23231;23235;69
20250723 022700;23234.75;23236.25;23234.5;23235.25;27
20250723 022800;23235.5;23237.25;23232.75;23236.75;82
20250723 022900;23235.75;23235.75;23232.75;23234.75;41
20250723 023000;23233;23234.75;23233;23234.75;24
20250723 023100;23233.25;23237.5;23233.25;23237.25;78
20250723 023200;23238;23239.5;23237.75;23239;34
20250723 023300;23239.25;23242.25;23238;23242;104
20250723 023400;23241.25;23242;23238.75;23239.5;53
20250723 023500;23238.75;23240.25;23235.25;23236.5;45
